country,Defense Budget,Active Personnel,Reserve Personnel,Paramilitary,Aircraft Carriers,Tanks,Self-Propelled Artillery,Armored Vehicles,Helicopters,Fighters/Interceptors,Destroyers,Navy Ships,Submarines,Total Aircraft Strength
Afghanistan,99050000,0,0,60000,0,0,0,530,0,0,0,0,0,0
Albania,192400000,8000,0,500,0,0,0,76,19,19,0,19,0,19
Algeria,9700000000,130000,135000,200000,0,2196,545,6461,268,552,0,201,6,552
Angola,1059270000,107000,0,10000,0,320,28,1210,117,299,0,40,0,299
Argentina,3064800000,83000,0,20000,0,349,75,800,85,218,4,47,2,218
Armenia,632500000,45000,210000,4300,0,288,38,673,36,64,0,0,0,64
Australia,44618000000,59000,20000,0,0,59,0,1765,133,430,3,43,6,430
Austria,3432000000,23000,160000,0,0,56,62,542,63,102,0,0,0,102
Azerbaijan,1700000000,65000,300000,15000,0,510,167,1762,87,149,0,24,4,149
Bahrain,1538800000,10000,0,3000,0,180,38,833,51,110,0,48,0,110
Bangladesh,3890400000,165000,0,6800000,0,320,27,837,66,190,0,112,2,190
Belarus,723120000,45000,290000,110000,0,601,482,1510,62,201,0,0,0,201
Belgium,5513710000,26000,7000,0,0,0,0,854,20,115,0,17,0,115
Bhutan,28908000,8000,0,0,0,0,0,27,2,2,0,0,0,2
Bolivia,476970000,50000,0,0,0,36,0,152,28,63,0,170,0,63
Bosnia and Herzegovina,178110000,9000,0,0,0,320,57,332,19,19,0,0,0,19
Botswana,473400000,9000,0,0,0,45,12,223,16,46,0,0,0,46
Brazil,18785000000,360000,1340000,400000,0,439,136,1958,179,679,0,112,7,679
Bulgaria,1105760000,30000,3000,0,0,410,506,594,22,66,0,29,0,66
Burkina Faso,434250000,12000,0,250,0,0,0,265,10,18,0,0,0,18
Cambodia,632250000,100000,0,10000,0,539,0,449,19,23,0,27,0,23
Cameroon,398000000,40000,0,12000,0,0,0,253,17,31,0,60,0,31
Canada,23550574382,70000,19000,5500,0,82,0,1534,118,380,0,61,4,380
Central African Republic,41454000,10000,0,1000,0,3,0,89,1,3,0,0,0,3
Chad,292610000,30000,0,5000,0,90,10,691,16,35,0,0,0,35
Chile,5058000000,80000,40000,50000,0,270,48,1063,78,290,0,133,4,290
China,250240000000,2000000,510000,624000,2,5250,4120,35000,912,3285,41,777,79,3285
Colombia,8139000000,295000,35000,185000,0,0,6,483,211,454,0,450,11,454
Croatia,2100000000,15000,20000,2000,0,72,24,650,40,78,0,34,0,78
Cuba,2989900000,50000,40000,1146000,0,1230,100,1570,14,80,0,19,1,80
Czechia,3262900000,26000,0,0,0,116,86,692,44,92,0,0,0,92
Democratic Republic of the Congo,299220000,100000,0,10000,0,212,16,201,32,46,0,16,0,46
Denmark,3993096624,16000,45500,0,0,44,15,997,34,115,0,74,0,115
Dominican Republic,630720000,60000,0,30000,0,10,0,35,33,65,0,34,0,65
Ecuador,2272630000,40000,120000,500,0,252,15,698,41,113,0,30,2,113
Egypt,4357200000,450000,480000,300000,0,4394,1165,10000,313,1062,0,245,8,1062
El Salvador,295680000,21000,10000,15000,0,0,0,125,29,47,0,4,0,47
Eritrea,105315000,175000,200000,0,0,300,20,200,13,33,0,20,0,33
Estonia,713690000,6500,12000,16000,0,0,18,180,0,6,0,6,0,6
Ethiopia,538000000,150000,0,0,0,340,67,110,32,90,0,0,0,90
Finland,2669733900,23000,280000,14000,0,200,115,2090,20,192,0,246,0,192
France,40900000000,205000,35000,175000,1,406,109,6558,435,1055,10,180,10,1055
Gabon,280620000,6500,0,2000,0,0,0,150,15,23,0,10,0,23
Georgia,286020000,25000,0,5400,0,143,74,554,38,66,0,44,0,66
Germany,50300000000,184000,15000,0,0,266,121,9217,287,617,0,80,6,617
Ghana,289400000,14000,0,0,0,0,0,343,11,20,0,20,0,20
Greece,6600000000,130000,220500,35000,0,1243,590,6134,270,633,0,120,11,633
Guatemala,388000000,21500,65000,30000,0,0,0,140,17,33,0,25,0,33
Honduras,405110000,16000,60000,23000,0,19,0,92,10,44,0,55,0,44
Hungary,3263999300,23000,20000,12000,0,176,0,510,33,55,0,0,0,55
India,49600000000,1450000,1155000,2527000,1,4614,100,12000,805,2182,10,295,17,2182
Indonesia,9300000000,400000,400000,280000,0,314,153,1444,172,445,0,296,4,445
Iran,5000000000,575000,350000,90000,0,2831,1030,7600,126,543,0,142,19,543
Iraq,6855200000,200000,0,130000,0,826,171,5050,164,361,0,63,0,361
Ireland,1100000000,8700,4000,0,0,0,0,122,8,23,0,9,0,23
Israel,17800000000,173000,465000,8000,0,1900,650,8044,127,597,0,67,5,597
